district,name,description,route_length,n_intersections
1,Convert parking lane,,2.505463199,24
1,Convert to local access only,existing Stay Healthy Street,2.006038737,81
1,Convert to local access only,,1.53281863,33
1,Convert to local access only,,1.376662017,46
1,Convert to local access only,,1.372966117,26
1,Convert to local access only,,1.312667642,42
1,Convert to local access only,,1.304971032,31
1,Convert to local access only,,1.291233739,7
1,Convert to local access only,,1.202811126,59
1,Convert to local access only,,0.836708568,18
1,Convert to local access only,,0.716953202,8
1,Convert to local access only,,0.715362422,12
1,Convert to local access only,,0.661593906,13
1,Convert to local access only,,0.391668368,19
1,Convert to local access only,Concord elementary to Stay Healthy Streets and South Park East. No sidewalks on S Henderson so people already walk/roll in street. 8th Ave and Trenton have become a Dump traffic route for avoiding arterial slowdowns related to WS bridge detour.,0.201546044,10
1,Convert to local access only,,0.196281497,12
1,Convert travel lane,,1.192340538,151
2,Convert parking lane,,2.306534142,36
2,Convert parking lane,,1.500383643,32
2,Convert parking lane,,0.611548844,19
2,Convert parking lane,,0.489837674,10
2,Convert parking lane,,0.425467533,20
2,Convert parking lane,,0.340967625,14
2,Convert parking lane,preferred route to access local businesses and provide additional pedestrian space outside of takeout locations.,0.269829519,13
2,Convert parking lane,,0.255317395,14
2,Convert to local access only,uses existing NGW (except for northernmost few blocks),3.969099645,158
2,Convert to local access only,uses existing NGW,1.927394493,60
2,Convert to local access only,,1.796803588,42
2,Convert to local access only,,1.406047304,49
2,Convert to local access only,Existing NGW,1.324472658,52
2,Convert to local access only,,1.302633806,37
2,Convert to local access only,,1.109380684,2
2,Convert to local access only,,0.899918724,24
2,Convert to local access only,,0.726227159,14
2,Convert to local access only,,0.592237354,12
2,Convert to local access only,,0.559296077,13
2,Convert to local access only,Alternate route to Beacon Ave business district. Would be beneficial if there were wayfinding pointing towards business district at McClellan.,0.452690868,22
2,Convert to local access only,,0.383414555,11
2,Convert to local access only,,0.373888413,30
2,Convert to local access only,,0.365639267,16
2,Convert to local access only,,0.274740207,8
2,Convert to local access only,,0.212489152,2
2,Convert to local access only,,0.161193379,10
2,Convert to local access only,,0.157399422,11
2,Convert to local access only,,0.123303779,2
2,Convert to local access only,"This street is only used by locals. It's a dead end unless you use the alley, so it's very calm already traffic wise.",0.113578719,2
2,Convert travel lane,,3.687593826,26
2,Convert travel lane,,0.288020353,21
2,Use existing trail/PBL,,2.630392056,116
2,Use existing trail/PBL,,1.661787115,49
2,Use existing trail/PBL,,1.558707923,60
2,Use existing trail/PBL,,1.03889802,37
2,Use existing trail/PBL,,0.955018976,37
2,Use existing trail/PBL,,0.673286646,18
